experiment,model_size,data_pct,num_samples,num_params,val_loss
scaling_tiny_10pct,Tiny,10,745,22123,0.6466659351631447
scaling_tiny_20pct,Tiny,20,1491,22123,0.5050975216759576
scaling_tiny_50pct,Tiny,50,3729,22123,0.4344106471097028
scaling_tiny_100pct,Tiny,100,7458,22123,0.39284874002138775
scaling_small_10pct,Small,10,745,85195,0.49543675118022495
scaling_small_20pct,Small,20,1491,85195,0.45935860717738114
scaling_small_50pct,Small,50,3729,85195,0.42601495539700546
scaling_small_100pct,Small,100,7458,85195,0.36135949691136676
scaling_medium_10pct,Medium,10,745,291755,0.45427682995796204
scaling_medium_20pct,Medium,20,1491,291755,0.36693014535639024
scaling_medium_50pct,Medium,50,3729,291755,0.26004618737432694
scaling_medium_100pct,Medium,100,7458,291755,0.19243113172275048
scaling_large_10pct,Large,10,745,515979,0.44566087811081495
scaling_large_20pct,Large,20,1491,515979,0.40721376571390366
scaling_large_50pct,Large,50,3729,515979,0.2629981123738819
scaling_large_100pct,Large,100,7458,515979,0.1864121906735279
